Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Contract,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Satisfaction Score,Senior Citizen,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
67,22,44.26,132,2364,1,1,0,1,2,35.151491,-117.927597,1,90.7,1,0,1,0,0,0,1,1,0,1,8316,0,3,1,0,0,1,31,2835.5,0,1372.06,0.0,4207.56,0,1,721,0
79,2,32.62,1039,2901,2,0,0,1,2,34.199787,-118.68493,1,69.3,0,0,1,5,0,0,1,1,0,1,23637,0,4,1,0,0,0,2,153.8,0,65.24,0.0,219.04,0,1,191,0
20,71,26.64,1055,4515,1,1,1,1,1,40.949012,-123.655847,1,73.05,0,0,5,2,0,1,1,1,1,1,1666,0,3,0,1,1,1,64,4688.65,0,1704.96,0.0,6393.61,1,1,1295,0
30,30,26.26,277,2876,0,0,0,1,2,35.858054,-119.305858,0,69.55,0,0,0,0,0,0,1,0,0,1,9318,0,1,0,0,0,0,3,222.3,0,78.78,0.0,301.08,0,1,632,1
72,23,11.86,111,4143,2,0,1,1,0,38.184583,-119.286558,0,54.55,0,1,0,0,1,0,1,0,0,1,826,1,4,1,0,0,0,11,601.25,0,130.46,0.0,731.71,0,1,727,0
62,7,30.61,560,3182,0,1,1,1,2,39.933852,-121.584371,0,76.65,0,0,0,0,0,0,1,0,0,1,11168,0,2,0,0,0,0,17,1313.55,0,520.37,0.0,1833.92,0,1,1459,1
71,13,19.14,636,5061,1,1,0,1,2,33.548869,-117.334165,1,94.05,1,0,0,0,1,1,1,1,0,1,36149,1,3,1,0,0,0,59,5483.9,30,1129.26,0.0,6643.16,0,0,497,0
48,9,27.41,367,4114,2,1,0,1,1,34.489983,-120.091246,1,70.9,1,0,2,0,1,1,0,1,1,1,49975,1,4,0,0,0,0,68,4911.35,0,1863.88,49.37,6725.86,0,1,619,0
22,59,2.73,937,4237,2,1,1,1,1,37.965695,-121.260051,1,81.0,1,3,8,0,1,1,0,1,1,1,34138,1,3,0,1,1,0,72,5750.0,0,196.56,0.0,5946.56,1,1,1102,0
38,20,27.89,1013,2699,0,0,1,1,2,34.17847,-118.459472,0,70.05,0,0,0,0,0,0,1,0,0,1,23646,0,2,0,0,0,0,1,70.05,0,27.89,0.0,97.94,0,1,223,1
46,0,43.8,282,4691,1,0,0,0,3,32.770393,-115.60915,0,19.75,0,0,0,0,0,0,0,0,0,1,43712,0,4,0,0,0,0,32,624.15,0,1401.6,0.0,2025.75,0,0,391,0
47,3,17.07,747,4592,0,0,1,1,1,38.733714,-120.795213,0,61.15,1,0,0,5,1,1,0,0,0,1,34146,0,4,0,0,0,0,1,61.15,0,17.07,0.0,78.22,0,1,1351,0
48,20,38.5,233,2651,0,0,1,1,2,33.993991,-118.39704,1,69.8,0,3,9,0,0,0,1,1,0,1,31963,0,4,0,0,0,0,6,377.85,0,231.0,0.0,608.85,0,1,67,0
68,19,8.97,328,5166,0,1,1,1,2,39.531028,-121.24807,1,100.05,1,0,1,0,0,0,1,1,0,1,452,0,1,1,1,0,1,47,4871.05,0,421.59,0.0,5292.64,0,1,1447,1
48,0,19.28,428,5190,2,0,0,0,3,33.97803,-118.217141,1,20.3,0,3,3,0,0,0,0,1,0,1,78114,0,5,0,0,0,0,12,224.5,0,231.36,0.0,455.86,0,0,78,0
60,0,47.46,183,3142,0,0,0,0,3,40.243494,-121.154733,0,20.0,0,0,0,0,0,0,0,0,2,1,2664,0,3,0,0,0,0,6,109.2,0,284.76,0.0,393.96,0,0,1504,0
50,28,22.05,402,4017,0,0,1,1,0,33.914775,-118.348083,0,59.85,1,0,0,0,0,0,1,0,0,1,93315,0,2,0,0,0,1,1,59.85,0,22.05,0.0,81.9,0,1,76,1
80,5,28.64,301,5345,0,0,0,1,2,33.141265,-116.967221,0,71.0,0,0,0,0,0,0,1,0,0,1,48690,0,3,1,0,0,0,1,71.0,0,28.64,0.0,99.64,0,1,319,1
76,10,42.29,173,2677,1,0,0,1,2,33.829583,-116.474131,1,95.05,1,0,10,0,0,0,1,1,0,1,43141,0,4,1,1,0,1,42,3944.5,100,1776.18,0.0,5820.68,0,0,385,0
34,0,40.91,864,4311,2,0,0,0,3,34.438581,-119.685368,1,19.85,0,0,0,0,0,0,0,1,1,1,20893,0,4,0,0,0,0,70,1328.35,0,2863.7,33.29,4158.76,0,0,613,0
30,30,17.22,293,5944,0,0,1,1,2,38.35363,-121.44195,0,76.5,1,0,0,5,0,0,1,0,0,1,47065,0,1,0,0,0,0,2,162.45,0,34.44,0.0,196.89,0,1,1393,1
50,11,35.49,835,3585,0,1,0,1,0,34.102119,-117.815532,0,72.9,0,2,0,0,0,0,1,0,1,1,33878,1,1,0,1,1,1,9,651.4,0,319.41,0.0,970.81,0,1,270,1
28,52,35.2,177,5605,0,0,0,1,1,34.255203,-117.175654,1,58.5,1,3,9,0,1,0,1,1,1,1,455,1,3,0,0,0,0,4,224.85,0,140.8,0.0,365.65,1,1,430,0
46,0,44.84,541,6334,2,0,0,0,3,34.028735,-118.317236,1,25.05,1,0,0,0,0,0,0,1,1,1,47143,0,5,0,0,0,0,71,1873.7,0,3183.64,0.0,5057.34,0,0,15,0
69,19,45.88,834,2482,0,1,0,1,2,32.961064,-117.134917,0,91.7,1,0,0,0,1,1,0,0,1,1,47224,0,1,1,0,0,0,30,2758.15,0,1376.4,0.0,4134.55,0,1,368,1
35,56,12.96,754,4480,2,1,0,1,1,38.489273,-120.891614,1,80.45,0,3,3,0,0,1,1,1,0,1,2220,1,3,0,1,1,1,72,5886.85,0,933.12,0.0,6819.97,0,1,1353,0
37,14,2.72,440,2388,0,0,1,1,2,38.33788,-120.954202,0,70.7,0,0,0,5,0,0,0,0,1,1,9752,0,4,0,0,0,0,2,129.2,10,5.44,0.0,144.64,0,0,1332,0
60,0,18.64,914,3828,2,0,0,0,3,41.444606,-123.471895,1,20.2,0,2,6,2,0,0,0,1,0,1,202,0,5,0,0,0,0,48,1027.25,0,894.72,0.0,1921.97,0,0,1291,0
39,6,14.07,104,2187,0,0,0,1,2,37.171727,-122.142961,0,85.7,1,0,0,0,0,0,1,0,0,1,10520,0,2,0,1,1,0,2,169.8,0,28.14,0.0,197.94,0,1,1040,1
35,13,22.33,541,2039,0,0,0,1,1,34.002642,-118.287596,1,60.05,1,0,1,0,1,0,1,1,0,1,56709,1,2,0,0,0,0,26,1616.15,0,580.58,0.0,2196.73,0,1,32,1
20,27,26.63,302,5611,0,0,1,1,1,38.834469,-122.127193,0,44.0,0,1,0,4,0,0,0,0,1,1,2756,0,3,0,0,1,0,13,659.35,0,346.19,0.0,1005.54,1,1,1319,0
59,76,29.5,820,6123,1,1,1,1,1,38.517295,-121.439819,1,75.1,0,3,0,1,1,1,1,1,0,1,30580,1,4,0,0,0,1,66,5013.0,0,1947.0,0.0,6960.0,0,1,1407,0
27,0,43.5,975,3854,0,0,1,0,3,33.849263,-116.382778,0,19.9,0,0,0,4,0,0,0,0,1,1,6242,0,3,0,0,0,0,14,283.75,0,609.0,0.0,892.75,1,0,411,0
39,13,35.18,510,3972,0,0,0,1,2,34.845861,-118.885163,1,74.75,1,0,1,5,0,0,1,1,1,1,1247,0,1,0,0,0,0,3,229.5,0,105.54,0.0,335.04,0,1,647,1
63,20,27.0,644,4634,2,1,0,1,0,37.504133,-122.032347,0,64.75,0,0,0,2,1,0,1,0,2,1,42491,0,3,0,1,1,0,55,3617.1,0,1485.0,0.0,5102.1,0,1,945,0
71,21,0.0,379,6285,0,0,1,1,1,40.160386,-120.835428,1,29.45,0,0,1,2,1,0,1,1,1,0,2064,0,4,1,0,0,0,51,1459.35,0,0.0,0.0,1459.35,0,1,1453,0
38,30,0.0,318,4507,2,1,0,1,0,38.513484,-120.704613,0,43.6,0,0,0,2,1,0,1,0,1,0,850,0,4,0,1,1,0,62,2748.7,0,0.0,0.0,2748.7,0,1,1321,0
76,15,3.42,361,2768,2,0,0,1,2,34.167926,-118.267539,1,83.45,0,0,0,0,0,1,1,1,0,1,21990,0,3,1,1,0,0,38,3147.15,0,129.96,24.98,3252.13,0,1,178,0
76,9,0.0,537,5295,2,1,1,1,1,38.809175,-121.171375,1,64.45,0,0,9,0,1,1,1,1,1,0,11191,1,5,1,1,1,1,72,4641.1,0,0.0,0.0,4641.1,0,1,1338,0
62,20,44.0,830,6202,2,0,1,1,2,34.183286,-117.221722,1,84.5,1,2,4,1,0,0,1,1,1,1,53636,0,5,0,1,1,0,72,6130.85,0,3168.0,0.0,9298.85,0,1,468,0
44,0,10.83,789,5946,2,0,0,0,3,33.873395,-118.37019,0,20.5,0,0,0,2,0,0,1,0,1,1,37322,0,5,0,0,0,0,54,1035.7,0,584.82,0.0,1620.52,0,0,89,0
74,4,46.5,717,4990,0,0,1,1,0,39.884395,-122.587513,1,86.65,1,0,2,0,0,0,1,1,0,1,263,0,1,1,1,0,0,10,856.65,0,465.0,0.0,1321.65,0,1,1542,1
66,28,45.37,815,6019,1,0,0,1,2,38.784329,-121.373245,1,97.8,1,0,5,2,1,0,1,1,0,1,25418,0,3,1,1,0,1,58,5458.8,0,2631.46,0.0,8090.26,0,1,1392,0
33,10,33.82,815,5870,1,1,1,1,2,38.759751,-121.288545,1,105.05,1,2,2,0,0,0,1,1,0,1,30614,1,5,0,1,1,1,58,6004.85,0,1961.56,0.0,7966.41,0,1,1360,0
58,21,1.88,834,4521,0,0,1,1,1,32.76501,-117.19938,0,50.8,0,0,0,5,0,0,1,0,1,1,24169,1,5,0,0,0,0,4,202.3,0,7.52,0.0,209.82,0,1,351,0
59,26,0.0,245,5474,0,1,1,1,1,38.554383,-122.474773,0,33.5,0,0,0,4,1,0,1,0,1,0,223,0,2,0,0,0,0,18,600.0,0,0.0,0.0,600.0,0,1,957,1
60,0,47.33,55,5448,1,0,1,0,3,35.28952,-116.092214,0,24.6,1,0,0,3,0,0,0,0,0,1,904,0,3,0,0,0,0,24,592.65,0,1135.92,0.0,1728.57,0,0,422,0
19,59,37.32,301,4081,1,1,1,1,1,33.141265,-116.967221,0,88.8,1,0,0,1,1,1,1,0,0,1,48690,1,3,0,1,1,1,67,5903.15,0,2500.44,0.0,8403.59,1,1,319,0
47,26,4.34,385,2709,1,0,1,1,2,37.902968,-119.667544,0,104.85,1,0,0,3,1,1,1,0,0,1,3680,0,4,0,1,1,1,38,3887.25,0,164.92,0.0,4052.17,0,1,1150,0
54,0,15.51,299,5527,0,0,0,0,3,34.150354,-118.518292,0,20.9,0,0,0,5,0,0,0,0,1,1,27614,0,3,0,0,0,0,1,20.9,0,15.51,0.0,36.41,0,0,193,1
56,30,29.29,773,5219,2,1,1,1,1,36.594542,-119.905245,1,82.3,1,0,1,1,1,1,1,1,0,1,265,1,3,0,1,1,0,72,5980.55,140,2108.88,0.0,8229.43,0,0,789,0
63,3,44.73,311,5861,0,0,1,1,2,33.362575,-117.299644,1,74.6,1,0,1,5,0,0,1,1,0,1,42239,0,1,0,0,0,0,1,74.6,0,44.73,0.0,119.33,0,1,320,1
63,10,20.13,853,5056,0,0,0,1,1,37.556094,-122.272437,0,64.1,0,1,0,0,0,1,1,0,1,1,31882,1,3,0,0,0,1,40,2460.35,0,805.2,0.0,3265.55,0,1,905,0
58,57,0.0,222,2898,2,0,1,1,1,40.336392,-122.448533,1,40.55,0,3,0,0,1,1,0,1,1,0,12348,1,3,0,0,0,0,13,590.35,0,0.0,0.0,590.35,0,1,1506,0
26,85,21.45,72,4908,1,1,1,1,2,38.113533,-122.11926,0,104.5,1,0,0,0,1,1,0,0,1,1,25578,1,4,0,0,0,1,63,6590.8,0,1351.35,0.0,7942.15,1,1,912,0
68,13,15.82,75,4032,2,1,0,1,1,39.657228,-121.37778,1,78.45,1,0,10,0,1,1,0,1,0,1,1279,1,3,1,1,1,0,72,5682.25,0,1139.04,0.0,6821.29,0,1,1429,0
33,20,43.14,702,6183,0,1,0,1,2,36.525703,-120.952122,0,103.1,1,0,0,1,1,1,1,0,0,1,813,1,3,0,1,1,0,66,6595.0,0,2847.24,0.0,9442.24,0,1,1057,0
49,28,0.0,1081,4051,2,1,1,1,1,39.075694,-121.70606,1,54.65,0,3,0,0,0,0,0,1,0,0,27786,1,5,0,1,1,1,66,3632.0,0,0.0,46.75,3585.25,0,1,1488,0
58,7,0.0,951,3100,2,1,0,1,1,33.719221,-118.073596,0,49.85,0,0,0,4,0,1,0,0,1,0,1107,1,3,0,1,1,0,12,552.1,0,0.0,0.0,552.1,0,1,142,0
20,85,42.59,56,5816,2,1,1,1,1,35.559617,-118.925185,0,71.9,1,0,0,2,0,1,1,0,0,1,44915,1,4,0,1,1,0,63,4479.2,0,2683.17,0.0,7162.37,1,1,682,0
42,27,38.53,1027,3972,2,1,0,1,1,33.323705,-116.626907,1,78.8,0,0,1,0,0,1,1,1,0,1,1205,1,4,0,1,1,1,43,3460.3,0,1656.79,24.9,5092.19,0,1,342,0
30,59,31.67,919,4533,0,1,1,1,0,37.990574,-120.261821,1,79.35,1,0,1,0,0,0,1,1,0,1,1519,0,3,0,0,0,0,9,661.25,10,285.03,0.0,956.28,0,0,1186,1
50,12,13.69,325,2886,1,0,1,1,2,38.672638,-121.147403,0,91.25,0,0,0,3,1,0,1,0,0,1,51855,1,5,0,0,0,1,28,2483.65,0,383.32,0.0,2866.97,0,1,1322,0
56,19,39.07,405,5266,2,0,0,1,1,32.730583,-115.501083,1,61.4,1,2,10,0,0,1,0,1,1,1,3535,1,3,0,0,0,0,69,4059.85,0,2695.83,0.0,6755.68,0,1,392,0
76,19,38.85,592,5269,2,1,1,1,2,38.121601,-120.133915,0,101.4,1,0,0,0,0,0,1,0,1,1,1278,0,4,1,1,0,1,67,6841.05,0,2602.95,0.0,9444.0,0,1,1168,0
23,0,16.42,837,4501,1,0,1,0,3,37.776718,-122.495781,1,24.15,1,0,1,2,0,0,0,1,0,1,42476,0,3,0,0,0,0,60,1505.9,0,985.2,0.0,2491.1,1,0,886,0
22,51,18.62,291,5870,0,0,1,1,1,39.108252,-123.645121,0,50.3,0,0,0,5,1,0,1,0,1,1,383,0,5,0,0,0,0,2,92.75,0,37.24,0.0,129.99,1,1,1216,0
50,21,0.0,361,2933,0,1,1,1,1,34.13658,-118.245839,0,39.65,0,0,0,0,0,0,1,0,0,0,41390,0,1,0,0,0,1,19,733.35,0,0.0,0.0,733.35,0,1,181,1
44,24,44.14,62,5962,0,1,0,1,1,37.458367,-119.345011,0,59.8,0,1,0,4,0,0,1,0,1,1,613,0,4,0,0,0,1,14,824.85,0,617.96,0.0,1442.81,0,1,755,0
41,19,14.64,869,5284,0,0,0,1,1,35.303926,-120.256567,1,50.2,0,2,1,2,1,0,0,1,2,1,2687,0,4,0,0,0,0,43,2169.4,0,629.52,0.0,2798.92,0,1,712,0
47,6,44.45,936,5870,1,0,1,1,1,39.904002,-121.527823,1,70.5,0,0,7,0,1,1,0,1,1,1,28,1,4,0,1,1,0,32,2201.75,0,1422.4,0.0,3624.15,0,1,1478,0
61,0,33.92,843,5475,2,0,1,0,3,37.218705,-121.762429,1,26.1,1,2,2,0,0,0,0,1,1,1,7023,0,3,0,0,0,0,72,1851.45,0,2442.24,0.0,4293.69,0,0,1096,0
75,25,1.92,52,3728,2,1,1,1,2,35.186644,-120.728305,0,93.9,1,0,0,4,0,0,0,0,0,1,812,1,4,1,0,0,1,18,1743.9,0,34.56,0.0,1778.46,0,1,692,0
43,12,31.31,966,4770,1,1,1,1,2,33.475493,-117.219551,0,91.25,0,0,0,2,0,1,0,0,0,1,3070,0,3,0,0,0,1,52,4738.3,0,1628.12,0.0,6366.42,0,1,508,0
29,0,3.58,68,4761,1,0,1,0,3,33.887676,-118.127289,0,19.5,0,0,0,3,0,0,1,0,0,1,72893,0,4,0,0,0,0,25,516.3,0,89.5,0.0,605.8,1,0,130,0
75,18,26.82,189,4368,1,1,0,1,0,32.64164,-116.985026,1,68.45,1,0,1,0,1,1,1,1,1,1,12884,1,4,1,0,0,0,56,4014.0,0,1501.92,0.0,5515.92,0,1,288,0
21,48,23.52,950,4799,0,0,1,1,1,37.587494,-121.862856,0,70.3,0,0,0,0,0,0,0,0,0,1,790,1,3,0,1,1,1,2,132.4,0,47.04,0.0,179.44,1,1,964,0
42,21,8.29,801,4080,0,1,0,1,1,38.688764,-121.457596,0,62.8,0,0,0,0,0,0,0,0,0,1,14010,1,4,0,1,1,0,7,418.3,0,58.03,0.0,476.33,0,1,1356,0
30,53,0.0,920,2967,0,0,0,1,1,36.959731,-120.653519,0,23.9,0,0,0,0,0,0,1,0,0,0,343,0,3,0,0,0,0,13,300.8,0,0.0,0.0,300.8,0,1,797,1
59,18,47.64,665,5087,2,0,1,1,2,33.905963,-118.08263,0,88.95,0,0,0,3,0,1,1,0,0,1,103214,1,3,0,0,0,1,33,3027.65,0,1572.12,0.0,4599.77,0,1,123,0
45,25,22.52,114,5154,1,0,1,1,2,37.106902,-122.100006,0,106.65,1,0,0,0,1,0,1,0,0,1,1007,1,5,0,1,1,1,49,5168.1,130,1103.48,0.0,6401.58,0,0,1041,0
77,19,6.97,516,5374,0,0,1,1,2,40.704293,-122.803899,1,80.45,0,0,1,4,0,0,1,1,0,1,1845,0,2,1,1,0,0,12,950.2,0,83.64,0.0,1033.84,0,1,1527,1
48,4,19.22,596,4968,1,1,1,1,2,40.181279,-120.392967,1,102.5,1,0,8,2,1,0,0,1,0,1,481,0,5,0,1,1,1,60,6157.6,0,1153.2,0.0,7310.8,0,1,1573,0
42,26,10.9,56,6005,2,0,1,1,0,35.559617,-118.925185,1,54.2,0,2,1,1,1,1,1,1,0,1,44915,0,4,0,0,0,0,67,3838.2,10,730.3,0.0,4578.5,0,0,682,0
76,19,34.39,56,3104,1,0,1,1,2,35.140938,-119.051348,0,104.65,1,0,0,3,1,0,1,0,0,1,25126,1,4,1,1,0,1,27,2964.0,0,928.53,0.0,3892.53,0,1,686,0
21,73,32.08,211,3700,0,0,1,1,1,38.013825,-122.039144,1,44.7,0,0,1,0,0,0,0,1,1,1,36186,0,3,0,0,1,0,1,44.7,0,32.08,0.0,76.78,1,1,921,1
80,17,39.51,541,3711,0,0,0,1,2,34.088017,-118.327168,1,74.6,0,0,3,5,1,0,1,1,0,1,32562,0,5,1,0,0,0,3,239.05,30,118.53,0.0,387.58,0,0,33,0
62,20,11.74,1003,5804,0,1,1,1,2,39.220368,-122.907693,1,90.4,0,3,10,2,1,0,1,1,1,1,2344,0,3,0,0,0,1,49,4494.65,0,575.26,0.0,5069.91,0,1,1251,0
69,2,10.55,1,3172,0,0,1,1,2,34.501452,-118.207862,1,79.3,1,0,0,0,0,0,1,1,0,1,7831,1,5,1,0,0,0,29,2414.55,0,305.95,0.0,2720.5,0,1,722,0
77,8,40.5,809,5610,2,1,1,1,1,33.994676,-117.372498,1,74.85,1,0,7,0,0,0,0,1,0,1,18999,0,5,1,1,0,1,30,2181.75,0,1215.0,0.0,3396.75,0,1,474,0
33,25,18.75,848,2061,0,0,0,1,2,36.125529,-120.864443,0,86.55,1,0,0,4,0,0,1,0,0,1,521,0,5,0,1,1,0,12,1066.9,110,225.0,0.0,1401.9,0,0,835,0
73,20,0.0,42,5372,1,0,1,1,1,33.867593,-118.080637,0,56.45,0,0,0,1,1,1,1,0,0,0,16398,0,3,1,1,1,1,71,3985.35,0,0.0,0.0,3985.35,0,1,127,0
32,13,2.45,780,4543,1,1,0,1,2,33.012751,-117.200617,0,103.7,0,0,0,2,0,1,1,0,0,1,7615,1,4,0,1,1,1,47,4730.6,0,115.15,0.0,4845.75,0,1,333,0
30,30,37.65,649,5665,1,1,0,1,2,33.606336,-117.893042,0,94.75,1,0,0,2,1,0,1,0,0,1,3124,0,4,0,0,0,1,54,5121.75,70,2033.1,0.0,7224.85,0,0,537,0
64,17,32.87,674,5830,0,0,0,1,2,37.834341,-122.26437,0,95.15,1,0,0,4,1,1,1,0,0,1,21097,0,3,0,1,1,0,19,1789.25,120,624.53,0.0,2533.78,0,0,981,1
37,0,48.14,502,3678,0,0,1,0,3,34.727529,-118.153098,0,20.8,0,0,0,5,0,0,0,0,1,1,35109,0,4,0,0,0,0,1,20.8,0,48.14,0.0,68.94,0,0,736,0
77,20,3.83,362,3689,0,0,0,1,2,34.14649,-117.849815,1,92.55,1,0,9,0,0,0,1,1,0,1,24973,0,3,1,1,0,1,17,1614.7,0,65.11,0.0,1679.81,0,1,252,0
68,17,34.39,384,5507,1,1,0,1,2,38.636102,-120.522149,0,106.0,1,0,0,0,0,0,1,0,0,1,659,1,3,1,1,0,1,60,6441.4,110,2063.4,0.0,8614.8,0,0,1328,1
25,69,0.0,919,3423,1,1,1,1,1,37.990574,-120.261821,1,54.3,0,1,1,0,0,0,1,1,0,0,1519,1,5,0,1,1,1,44,2317.1,10,0.0,0.0,2327.1,1,0,1186,0
39,19,18.74,167,5584,2,0,0,1,2,39.361283,-123.784599,1,95.1,1,2,8,0,1,1,1,1,0,1,333,0,3,0,0,0,1,72,6843.15,0,1349.28,0.0,8192.43,0,1,1206,0
24,0,8.21,254,2745,2,0,1,0,3,33.992416,-117.807874,1,19.8,0,3,0,0,0,0,0,1,0,1,46532,0,3,0,0,0,0,37,726.1,0,303.77,0.0,1029.87,1,0,265,0
31,4,0.0,171,5493,1,1,0,1,0,37.722727,-122.02157,1,50.05,0,0,7,2,1,1,0,1,0,0,13212,0,3,0,1,1,0,60,2911.5,0,0.0,0.0,2911.5,0,1,939,0
62,29,44.96,344,3443,0,1,0,1,2,36.732694,-119.783786,0,80.05,1,0,0,4,0,0,0,0,0,1,6848,0,5,0,0,0,0,17,1345.65,0,764.32,0.0,2109.97,0,1,811,0
67,2,26.99,858,3443,0,0,1,1,2,37.972662,-122.491452,1,80.45,0,0,2,0,0,0,1,1,1,1,40239,0,1,1,0,0,1,8,583.45,0,215.92,0.0,799.37,0,1,1002,1
47,30,27.75,451,5649,2,1,1,1,2,35.930782,-121.189757,0,105.1,1,0,0,2,1,0,0,0,1,1,254,0,3,0,1,1,1,65,6631.85,0,1803.75,0.0,8435.6,0,1,828,0
19,53,4.65,966,5361,0,0,0,1,2,33.507255,-117.029473,1,90.35,0,0,10,0,1,1,0,1,0,1,46171,0,3,0,0,0,1,2,190.5,0,9.3,0.0,199.8,1,1,510,0
73,19,0.0,674,4694,0,0,1,1,1,37.803883,-122.208417,0,25.2,0,0,0,5,0,0,1,0,0,0,28900,0,3,1,0,0,0,4,102.5,0,0.0,0.0,102.5,0,1,975,1
78,7,32.4,1053,5638,0,0,1,1,2,39.117537,-122.284654,0,73.75,1,0,0,0,0,0,0,0,1,1,4579,0,2,1,0,0,0,7,545.15,0,226.8,0.0,771.95,0,1,1485,1
34,0,49.91,352,3009,0,0,0,0,3,33.890853,-118.297967,0,19.3,0,0,0,0,0,0,0,0,1,1,47758,0,3,0,0,0,0,2,44.4,0,99.82,0.0,144.22,0,0,73,0
48,23,26.3,11,6483,2,1,1,1,1,40.166028,-123.584144,0,77.8,1,0,0,0,0,0,1,0,0,1,261,0,5,0,1,1,1,55,4323.35,0,1446.5,0.0,5769.85,0,1,1259,0
50,19,0.0,7,3540,0,0,0,1,0,37.724817,-122.224363,0,30.15,0,2,0,0,1,0,0,0,0,0,13996,0,5,0,0,0,0,13,382.2,10,0.0,0.0,392.2,0,0,907,0
72,28,0.0,131,5597,2,1,0,1,1,35.358953,-118.527064,0,56.25,0,0,0,0,1,0,1,0,0,0,1022,0,3,1,1,0,1,34,1765.95,0,0.0,0.0,1765.95,0,1,728,0
53,15,0.0,116,4969,2,1,1,1,1,39.292334,-121.320597,1,65.1,0,0,7,1,1,1,1,1,1,0,1477,1,4,0,1,1,1,72,4754.3,0,0.0,0.0,4754.3,0,1,1431,0
62,27,0.0,681,2088,0,0,0,1,1,40.656287,-121.428965,0,25.25,0,0,0,0,0,0,0,0,0,0,182,0,1,0,0,0,0,3,58.9,0,0.0,0.0,58.9,0,1,1541,1
61,28,0.0,708,5092,1,1,1,1,1,37.416159,-122.131337,1,36.1,0,1,1,0,1,0,1,1,1,0,24492,0,3,0,0,0,0,56,1971.5,60,0.0,0.0,2031.5,0,0,901,0
19,0,19.38,258,4001,0,0,1,0,3,38.392821,-121.799917,0,21.05,0,2,0,4,0,0,0,0,1,1,18529,0,3,0,0,0,0,12,235.8,0,232.56,0.0,468.36,1,0,1313,0
23,59,21.56,104,3038,0,1,0,1,2,37.171727,-122.142961,0,114.5,1,0,0,2,1,1,1,0,0,1,10520,1,1,0,1,1,1,41,4527.45,0,883.96,0.0,5411.41,1,1,1040,1
30,41,28.27,672,4882,0,0,0,1,2,34.404544,-119.302118,0,87.55,1,0,0,0,1,1,1,0,0,1,6503,1,3,0,0,0,0,57,4884.85,0,1611.39,1.83,6494.41,0,1,600,0
